date,value,unit,stat_name,item_name
202401,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202402,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202403,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202404,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202405,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202406,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202407,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202408,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202409,3.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202410,3.25,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202411,3,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202412,3,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202501,3,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202502,2.75,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202503,2.75,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202504,2.75,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202505,2.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202506,2.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
202507,2.5,연%,1.3.1. 한국은행 기준금리 및 여수신금리,한국은행 기준금리
