date,value,unit,stat_name,item_name
202401,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202402,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202403,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202404,89,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202405,88,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202406,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202407,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202408,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202409,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202410,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202411,91,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202412,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202501,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202502,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202503,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202504,87,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202505,90,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202506,92,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
202507,94,,"6.2.1. 소비자동향조사(전국, 월, 2008.9~)",현재생활형편CSI
