date,value,unit,stat_name,item_name
202401,92.093,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202402,92.165,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202403,92.273,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202404,92.277,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202405,92.342,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202406,92.419,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202407,92.538,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202408,92.718,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202409,92.919,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202410,93.076,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202411,93.248,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202412,93.343,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202501,93.354,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202502,93.346,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202503,93.352,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202504,93.371,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202505,93.414,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202506,93.483,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202507,93.555,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
202508,93.598,2022.01=100,4.4.1.2. 주택전세가격지수(KB),총지수
