date,value,unit,stat_name,item_name
202401,93.24,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202402,93.167,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202403,93.068,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202404,93.038,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202405,92.961,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202406,92.896,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202407,92.918,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202408,93.024,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202409,93.172,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202410,93.256,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202411,93.282,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202412,93.201,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202501,93.087,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202502,92.996,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202503,92.964,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202504,92.994,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202505,93.038,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202506,93.164,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202507,93.317,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
202508,93.357,2022.01=100,4.4.1.1. 주택매매가격지수(KB),총지수
