date,value,unit,stat_name,item_name
202401,137.62,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202402,137.62,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202403,137.62,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202404,132.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202405,132.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202406,132.12,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202407,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202408,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202409,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202410,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202411,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202412,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
202501,134.87,2020=100,4.3.2.1. 수입물가지수(기본분류),비금속광물
