date,value,unit,stat_name,item_name
202401,134.77,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202402,134.93,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202403,132.8,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202404,132.22,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202405,132.9,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202406,132.33,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202407,130.93,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202408,128.28,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202409,125.31,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202410,122.81,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202411,122.25,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
202412,121.93,2020=100,4.3.2.1. 수입물가지수(기본분류),철강1차제품
