date,value,unit,stat_name,item_name
202402,0.22,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202403,1.49,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202404,0.49,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202405,0.29,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202406,0.47,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202407,0.50,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202408,0.27,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202409,0.25,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202410,0.94,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202411,0.77,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202412,0.86,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202501,0.48,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202502,0.66,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202503,-0.09,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202504,0.19,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202505,1.05,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
202506,0.63,%,"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔, 계절조정계열)"
