date,value,unit,stat_name,item_name
202401,134.53,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202402,135.53,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202403,135.86,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202404,134.77,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202405,135.27,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202406,135.53,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202407,135.96,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202408,134.33,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202409,133.02,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202410,131.49,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202411,130.68,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202412,130.49,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202501,131.56,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202502,131.09,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202503,132.06,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202504,131.66,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202505,131.52,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202506,131.65,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
202507,131.22,2020=100,4.1.1.1. 생산자물가지수(기본분류),철강1차제품
