date,base_rate,ccsi,construction_bsi_actual,construction_bsi_forecast,cpi,esi,exchange_usd_원_달러종가_15_30,housing_lease_price,housing_sale_price,leading_index,m2_growth,market_rate_국고채10년,market_rate_국고채3년,market_rate_회사채3년_AA_,market_rate_회사채3년_BBB_,ppi_비금속광물,ppi_철강1차제품
202401,3.5,89.0,69,68,113.17,91.8,1325.67,92.093,93.24,100.4,,3.353,3.266,4.013,10.453,134.76,134.53
202402,3.5,90.0,68,69,113.78,93.7,1331.37,92.165,93.167,100.5,0.22,3.429,3.351,4.053,10.44,135.57,135.53
202403,3.5,89.0,69,72,113.95,92.5,1331.63,92.273,93.068,100.4,1.49,3.39,3.31,3.944,10.21,135.17,135.86
202404,3.5,89.0,71,71,114.01,94.8,1369.25,92.277,93.038,100.6,0.49,3.567,3.439,3.974,10.189,135.85,134.77
202405,3.5,88.0,73,73,114.1,94.1,1365.05,92.342,92.961,100.7,0.29,3.527,3.432,3.876,10.054,134.7,135.27
202406,3.5,90.0,74,74,113.84,95.0,1379.95,92.419,92.896,100.8,0.47,3.337,3.262,3.708,9.824,132.38,135.53
202407,3.5,91.0,72,72,114.13,96.3,1383.37,92.538,92.918,100.8,0.5,3.171,3.083,3.542,9.614,131.91,135.96
202408,3.5,90.0,70,72,114.54,94.5,1352.87,92.718,93.024,100.7,0.27,2.999,2.924,3.418,9.4,131.32,134.33
202409,3.5,90.0,70,72,114.65,94.0,1332.76,92.919,93.172,100.7,0.25,3.011,2.868,3.448,9.335,129.61,133.02
202410,3.25,90.0,69,72,114.69,92.8,1365.37,93.076,93.256,100.7,0.94,3.07,2.911,3.486,9.342,128.68,131.49
202411,3.0,91.0,69,70,114.4,93.0,1394.32,93.248,93.282,100.7,0.77,3.006,2.858,3.428,9.248,128.21,130.68
202412,3.0,87.0,64,68,114.91,83.3,1436.78,93.343,93.201,100.5,0.86,2.771,2.59,3.236,9.014,128.47,130.49
202501,3.0,87.0,64,62,115.71,86.7,1455.5,93.354,93.087,100.2,0.48,2.821,2.571,3.229,8.989,129.19,131.56
202502,2.75,87.0,63,64,116.08,90.2,1445.58,93.346,92.996,100.3,0.66,2.83,2.611,3.206,8.972,129.45,131.09
202503,2.75,87.0,65,66,116.29,87.2,1457.92,93.352,92.964,100.5,-0.09,2.795,2.59,3.161,8.922,129.36,132.06
202504,2.75,87.0,65,65,116.38,87.5,1441.92,93.371,92.994,100.8,0.19,2.658,2.395,2.98,8.733,128.25,131.66
202505,2.5,90.0,69,65,116.27,92.2,1390.7,93.414,93.038,100.8,1.05,2.71,2.331,2.908,8.657,128.17,131.52
202506,2.5,92.0,68,69,116.31,92.8,1365.15,93.483,93.164,101.0,0.63,2.842,2.441,2.98,8.763,127.15,131.65
202507,2.5,94.0,68,68,116.52,92.9,1376.92,93.555,93.317,101.5,,2.84,2.465,2.957,8.784,126.68,131.22
202508,,,69,67,,94.6,1389.86,93.598,93.357,,,2.815,2.427,2.914,8.752,,
